@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
41,'2024/04/16 10:32:38:438',3,0.165625,0.191667,1
42,'2024/04/16 10:32:38:438',3,0.186458,0.191667,1
43,'2024/04/16 10:32:38:458',3,0.186458,0.175926,1
44,'2024/04/16 10:32:38:458',3,0.201562,0.175926,1
45,'2024/04/16 10:32:38:478',3,0.201562,0.156481,1
46,'2024/04/16 10:32:38:478',3,0.209896,0.156481,1
47,'2024/04/16 10:32:38:498',3,0.209896,0.137037,1
48,'2024/04/16 10:32:38:498',3,0.210938,0.137037,1
49,'2024/04/16 10:32:38:518',3,0.210938,0.123148,1
50,'2024/04/16 10:32:38:518',3,0.209896,0.123148,1
51,'2024/04/16 10:32:38:538',3,0.209896,0.101852,1
52,'2024/04/16 10:32:38:538',3,0.199479,0.101852,1
53,'2024/04/16 10:32:38:558',3,0.199479,0.092593,1
54,'2024/04/16 10:32:38:558',3,0.190625,0.092593,1
55,'2024/04/16 10:32:38:578',3,0.190625,0.087963,1
56,'2024/04/16 10:32:38:578',3,0.173438,0.087963,1
57,'2024/04/16 10:32:38:598',3,0.173438,0.089815,1
58,'2024/04/16 10:32:38:598',3,0.160938,0.089815,1
59,'2024/04/16 10:32:38:618',3,0.160938,0.103704,1
60,'2024/04/16 10:32:38:618',3,0.151042,0.103704,1
61,'2024/04/16 10:32:38:638',3,0.151042,0.151852,1
62,'2024/04/16 10:32:38:638',3,0.143229,0.151852,1
63,'2024/04/16 10:32:38:658',3,0.143229,0.200926,1
64,'2024/04/16 10:32:38:658',3,0.146354,0.200926,1
65,'2024/04/16 10:32:38:678',3,0.146354,0.236111,1
66,'2024/04/16 10:32:38:678',3,0.155208,0.236111,1
67,'2024/04/16 10:32:38:698',3,0.155208,0.281481,1
68,'2024/04/16 10:32:38:698',3,0.177604,0.281481,1
69,'2024/04/16 10:32:38:718',3,0.177604,0.288889,1
70,'2024/04/16 10:32:38:718',3,0.189583,0.288889,1
71,'2024/04/16 10:32:38:738',3,0.189583,0.292593,1
72,'2024/04/16 10:32:38:738',3,0.217708,0.292593,1
73,'2024/04/16 10:32:38:758',3,0.217708,0.280556,1
74,'2024/04/16 10:32:38:758',3,0.23125,0.280556,1
75,'2024/04/16 10:32:38:778',3,0.23125,0.255556,1
76,'2024/04/16 10:32:38:778',3,0.24375,0.255556,1
77,'2024/04/16 10:32:38:798',3,0.24375,0.241667,1
78,'2024/04/16 10:32:38:798',3,0.245833,0.241667,1
79,'2024/04/16 10:32:38:818',3,0.245833,0.219444,1
80,'2024/04/16 10:32:38:818',3,0.246354,0.219444,1
81,'2024/04/16 10:32:38:838',3,0.246354,0.200926,1
82,'2024/04/16 10:32:38:838',3,0.242708,0.200926,1
83,'2024/04/16 10:32:38:858',3,0.242708,0.167593,1
84,'2024/04/16 10:32:38:858',3,0.219271,0.167593,1
85,'2024/04/16 10:32:38:878',3,0.219271,0.153704,1
86,'2024/04/16 10:32:38:878',3,0.194271,0.153704,1
87,'2024/04/16 10:32:38:898',3,0.194271,0.15463,1
88,'2024/04/16 10:32:38:898',3,0.160938,0.15463,1
89,'2024/04/16 10:32:38:918',3,0.160938,0.175926,1
90,'2024/04/16 10:32:38:918',3,0.144271,0.175926,1
91,'2024/04/16 10:32:38:938',3,0.144271,0.232407,1
92,'2024/04/16 10:32:38:938',3,0.13125,0.232407,1
93,'2024/04/16 10:32:38:958',3,0.13125,0.269444,1
94,'2024/04/16 10:32:38:958',3,0.130208,0.269444,1
95,'2024/04/16 10:32:38:978',3,0.130208,0.328704,1
96,'2024/04/16 10:32:38:978',3,0.135417,0.328704,1
97,'2024/04/16 10:32:38:998',3,0.135417,0.358333,1
98,'2024/04/16 10:32:38:998',3,0.145313,0.358333,1
99,'2024/04/16 10:32:39:018',3,0.145313,0.382407,1
100,'2024/04/16 10:32:39:018',3,0.163542,0.382407,1
101,'2024/04/16 10:32:39:038',3,0.163542,0.387037,1
102,'2024/04/16 10:32:39:038',3,0.198437,0.387037,1
103,'2024/04/16 10:32:39:058',3,0.198437,0.365741,1
104,'2024/04/16 10:32:39:058',3,0.229167,0.365741,1
105,'2024/04/16 10:32:39:078',3,0.229167,0.34537,1
106,'2024/04/16 10:32:39:078',3,0.246354,0.34537,1
107,'2024/04/16 10:32:39:098',3,0.246354,0.311111,1
108,'2024/04/16 10:32:39:098',3,0.258333,0.311111,1
109,'2024/04/16 10:32:39:118',3,0.258333,0.275926,1
110,'2024/04/16 10:32:39:118',3,0.259896,0.275926,1
111,'2024/04/16 10:32:39:138',3,0.259896,0.230556,1
112,'2024/04/16 10:32:39:138',3,0.245833,0.230556,1
113,'2024/04/16 10:32:39:158',3,0.245833,0.19537,1
114,'2024/04/16 10:32:39:158',3,0.224479,0.19537,1
115,'2024/04/16 10:32:39:178',3,0.224479,0.167593,1
116,'2024/04/16 10:32:39:178',3,0.196354,0.167593,1
117,'2024/04/16 10:32:39:198',3,0.196354,0.162037,1
118,'2024/04/16 10:32:39:199',3,0.180208,0.162037,1
119,'2024/04/16 10:32:39:218',3,0.180208,0.160185,1
120,'2024/04/16 10:32:39:218',3,0.148438,0.160185,1
121,'2024/04/16 10:32:39:238',3,0.148438,0.184259,1
122,'2024/04/16 10:32:39:238',3,0.129167,0.184259,1
123,'2024/04/16 10:32:39:258',3,0.129167,0.208333,1
124,'2024/04/16 10:32:39:258',3,0.121875,0.208333,1
125,'2024/04/16 10:32:39:278',3,0.121875,0.25,1
126,'2024/04/16 10:32:39:278',3,0.119271,0.25,1
127,'2024/04/16 10:32:39:298',3,0.119271,0.276852,1
128,'2024/04/16 10:32:39:298',3,0.123438,0.276852,1
129,'2024/04/16 10:32:39:318',3,0.123438,0.307407,1
130,'2024/04/16 10:32:39:318',3,0.140104,0.307407,1
131,'2024/04/16 10:32:39:338',3,0.140104,0.32037,1
132,'2024/04/16 10:32:39:338',3,0.175521,0.32037,1
133,'2024/04/16 10:32:39:358',3,0.175521,0.306481,1
134,'2024/04/16 10:32:39:359',3,0.216667,0.306481,1
135,'2024/04/16 10:32:39:378',3,0.216667,0.289815,1
136,'2024/04/16 10:32:39:378',3,0.230208,0.289815,1
137,'2024/04/16 10:32:39:398',3,0.230208,0.25,1
138,'2024/04/16 10:32:39:398',3,0.246875,0.25,1
139,'2024/04/16 10:32:39:418',3,0.246875,0.209259,1
140,'2024/04/16 10:32:39:418',3,0.249479,0.209259,1
141,'2024/04/16 10:32:39:438',3,0.249479,0.153704,1
142,'2024/04/16 10:32:39:438',3,0.243229,0.153704,1
143,'2024/04/16 10:32:39:458',3,0.243229,0.128704,1
144,'2024/04/16 10:32:39:458',3,0.233854,0.128704,1
145,'2024/04/16 10:32:39:478',3,0.233854,0.093519,1
146,'2024/04/16 10:32:39:478',3,0.215104,0.093519,1
147,'2024/04/16 10:32:39:498',3,0.215104,0.07963,1
148,'2024/04/16 10:32:39:498',3,0.198958,0.07963,1
149,'2024/04/16 10:32:39:518',3,0.198958,0.071296,1
150,'2024/04/16 10:32:39:518',3,0.176042,0.071296,1
151,'2024/04/16 10:32:39:538',3,0.176042,0.074074,1
152,'2024/04/16 10:32:39:538',3,0.155729,0.074074,1
153,'2024/04/16 10:32:39:558',3,0.155729,0.098148,1
154,'2024/04/16 10:32:39:558',3,0.139062,0.098148,1
155,'2024/04/16 10:32:39:578',3,0.139062,0.137037,1
156,'2024/04/16 10:32:39:578',3,0.129688,0.137037,1
157,'2024/04/16 10:32:39:598',3,0.129688,0.212963,1
158,'2024/04/16 10:32:39:598',3,0.128125,0.212963,1
159,'2024/04/16 10:32:39:618',3,0.128125,0.275,1
160,'2024/04/16 10:32:39:618',3,0.134375,0.275,1
161,'2024/04/16 10:32:39:638',3,0.134375,0.35,1
162,'2024/04/16 10:32:39:638',3,0.157292,0.35,1
163,'2024/04/16 10:32:39:658',3,0.157292,0.380556,1
164,'2024/04/16 10:32:39:658',3,0.178125,0.380556,1
165,'2024/04/16 10:32:39:678',3,0.178125,0.391667,1
166,'2024/04/16 10:32:39:678',3,0.213021,0.391667,1
167,'2024/04/16 10:32:39:698',3,0.213021,0.387037,1
168,'2024/04/16 10:32:39:698',3,0.231771,0.387037,1
169,'2024/04/16 10:32:39:718',3,0.231771,0.367593,1
170,'2024/04/16 10:32:39:718',3,0.25,0.367593,1
171,'2024/04/16 10:32:39:738',3,0.25,0.32963,1
172,'2024/04/16 10:32:39:738',3,0.265104,0.32963,1
173,'2024/04/16 10:32:39:758',3,0.265104,0.27037,1
174,'2024/04/16 10:32:39:758',3,0.26875,0.27037,1
175,'2024/04/16 10:32:39:778',3,0.26875,0.235185,1
176,'2024/04/16 10:32:39:778',3,0.263542,0.235185,1
177,'2024/04/16 10:32:39:798',3,0.263542,0.194444,1
178,'2024/04/16 10:32:39:799',3,0.247396,0.194444,1
179,'2024/04/16 10:32:39:818',3,0.247396,0.171296,1
180,'2024/04/16 10:32:39:818',3,0.232812,0.171296,1
181,'2024/04/16 10:32:39:838',3,0.232812,0.14537,1
182,'2024/04/16 10:32:39:838',3,0.197396,0.14537,1
183,'2024/04/16 10:32:39:858',3,0.197396,0.144444,1
184,'2024/04/16 10:32:39:858',3,0.175,0.144444,1
185,'2024/04/16 10:32:39:878',3,0.175,0.168519,1
186,'2024/04/16 10:32:39:878',3,0.140104,0.168519,1
187,'2024/04/16 10:32:39:898',3,0.140104,0.203704,1
188,'2024/04/16 10:32:39:898',3,0.120833,0.203704,1
189,'2024/04/16 10:32:39:918',3,0.120833,0.25463,1
190,'2024/04/16 10:32:39:918',3,0.107813,0.25463,1
191,'2024/04/16 10:32:39:938',3,0.107813,0.288889,1
192,'2024/04/16 10:32:39:938',3,0.10625,0.288889,1
193,'2024/04/16 10:32:39:958',3,0.10625,0.340741,1
194,'2024/04/16 10:32:39:958',3,0.116667,0.340741,1
195,'2024/04/16 10:32:39:978',3,0.116667,0.369444,1
196,'2024/04/16 10:32:39:978',3,0.145833,0.369444,1
197,'2024/04/16 10:32:39:998',3,0.145833,0.376852,1
198,'2024/04/16 10:32:39:998',3,0.172917,0.376852,1
199,'2024/04/16 10:32:40:018',3,0.172917,0.377778,1
200,'2024/04/16 10:32:40:018',3,0.202604,0.377778,1
201,'2024/04/16 10:32:40:038',3,0.202604,0.355556,1
202,'2024/04/16 10:32:40:038',3,0.231771,0.355556,1
203,'2024/04/16 10:32:40:058',3,0.231771,0.317593,1
204,'2024/04/16 10:32:40:058',3,0.252083,0.317593,1
205,'2024/04/16 10:32:40:078',3,0.252083,0.287963,1
206,'2024/04/16 10:32:40:078',3,0.25625,0.287963,1
207,'2024/04/16 10:32:40:098',3,0.25625,0.22963,1
208,'2024/04/16 10:32:40:098',3,0.252083,0.22963,1
209,'2024/04/16 10:32:40:118',3,0.252083,0.207407,1
210,'2024/04/16 10:32:40:118',3,0.243229,0.207407,1
211,'2024/04/16 10:32:40:138',3,0.243229,0.174074,1
212,'2024/04/16 10:32:40:138',3,0.223958,0.174074,1
213,'2024/04/16 10:32:40:158',3,0.223958,0.161111,1
214,'2024/04/16 10:32:40:158',3,0.210417,0.161111,1
215,'2024/04/16 10:32:40:178',3,0.210417,0.15463,1
216,'2024/04/16 10:32:40:178',3,0.180729,0.15463,1
217,'2024/04/16 10:32:40:198',3,0.180729,0.164815,1
218,'2024/04/16 10:32:40:198',3,0.161979,0.164815,1
219,'2024/04/16 10:32:40:218',3,0.161979,0.191667,1
220,'2024/04/16 10:32:40:218',3,0.142708,0.191667,1
221,'2024/04/16 10:32:40:238',3,0.142708,0.25463,1
222,'2024/04/16 10:32:40:238',3,0.121354,0.25463,1
223,'2024/04/16 10:32:40:258',3,0.121354,0.322222,1
224,'2024/04/16 10:32:40:258',3,0.116146,0.322222,1
225,'2024/04/16 10:32:40:278',3,0.116146,0.349074,1
226,'2024/04/16 10:32:40:278',3,0.11875,0.349074,1
227,'2024/04/16 10:32:40:298',3,0.11875,0.4,1
228,'2024/04/16 10:32:40:298',3,0.14375,0.4,1
229,'2024/04/16 10:32:40:318',3,0.14375,0.407407,1
230,'2024/04/16 10:32:40:318',3,0.16875,0.407407,1
231,'2024/04/16 10:32:40:338',3,0.16875,0.394444,1
232,'2024/04/16 10:32:40:338',3,0.220313,0.394444,1
233,'2024/04/16 10:32:40:358',3,0.220313,0.374074,1
234,'2024/04/16 10:32:40:358',3,0.243229,0.374074,1
235,'2024/04/16 10:32:40:378',3,0.243229,0.335185,1
236,'2024/04/16 10:32:40:378',3,0.271875,0.335185,1
237,'2024/04/16 10:32:40:398',3,0.271875,0.312037,1
238,'2024/04/16 10:32:40:398',3,0.279687,0.312037,1
239,'2024/04/16 10:32:40:418',3,0.279687,0.286111,1
240,'2024/04/16 10:32:40:418',3,0.282292,0.286111,1
241,'2024/04/16 10:32:40:438',3,0.282292,0.231481,1
242,'2024/04/16 10:32:40:438',3,0.275521,0.231481,1
243,'2024/04/16 10:32:40:458',3,0.275521,0.188889,1
244,'2024/04/16 10:32:40:458',3,0.257813,0.188889,1
245,'2024/04/16 10:32:40:478',3,0.257813,0.162963,1
246,'2024/04/16 10:32:40:478',3,0.240625,0.162963,1
247,'2024/04/16 10:32:40:498',3,0.240625,0.136111,1
248,'2024/04/16 10:32:40:498',3,0.208333,0.136111,1
249,'2024/04/16 10:32:40:518',3,0.208333,0.134259,1
250,'2024/04/16 10:32:40:518',3,0.19375,0.134259,1
251,'2024/04/16 10:32:40:538',3,0.19375,0.155556,1
252,'2024/04/16 10:32:40:538',3,0.157813,0.155556,1
253,'2024/04/16 10:32:40:558',3,0.157813,0.189815,1
254,'2024/04/16 10:32:40:558',3,0.140104,0.189815,1
255,'2024/04/16 10:32:40:578',3,0.140104,0.256481,1
256,'2024/04/16 10:32:40:578',3,0.125,0.256481,1
257,'2024/04/16 10:32:40:598',3,0.125,0.301852,1
258,'2024/04/16 10:32:40:598',3,0.123958,0.301852,1
259,'2024/04/16 10:32:40:618',3,0.123958,0.341667,1
260,'2024/04/16 10:32:40:618',3,0.13125,0.341667,1
261,'2024/04/16 10:32:40:638',3,0.13125,0.387037,1
262,'2024/04/16 10:32:40:638',3,0.159375,0.387037,1
263,'2024/04/16 10:32:40:658',3,0.159375,0.396296,1
264,'2024/04/16 10:32:40:658',3,0.217708,0.396296,1
265,'2024/04/16 10:32:40:678',3,0.217708,0.384259,1
266,'2024/04/16 10:32:40:678',3,0.241667,0.384259,1
267,'2024/04/16 10:32:40:698',3,0.241667,0.359259,1
268,'2024/04/16 10:32:40:698',3,0.271354,0.359259,1
269,'2024/04/16 10:32:40:718',3,0.271354,0.34537,1
270,'2024/04/16 10:32:40:718',3,0.279687,0.34537,1
271,'2024/04/16 10:32:40:738',3,0.279687,0.313889,1
272,'2024/04/16 10:32:40:738',3,0.289583,0.313889,1
273,'2024/04/16 10:32:40:759',3,0.289583,0.294444,1
274,'2024/04/16 10:32:40:759',3,0.289583,0.294444,1
275,'2024/04/16 10:32:40:778',3,0.289583,0.246296,1
276,'2024/04/16 10:32:40:778',3,0.273958,0.246296,1
277,'2024/04/16 10:32:40:798',3,0.273958,0.214815,1
278,'2024/04/16 10:32:40:798',3,0.25625,0.214815,1
279,'2024/04/16 10:32:40:818',3,0.25625,0.184259,1
280,'2024/04/16 10:32:40:818',3,0.229687,0.184259,1
281,'2024/04/16 10:32:40:838',3,0.229687,0.169444,1
282,'2024/04/16 10:32:40:838',3,0.198437,0.169444,1
283,'2024/04/16 10:32:40:858',3,0.198437,0.17037,1
284,'2024/04/16 10:32:40:858',3,0.18125,0.17037,1
285,'2024/04/16 10:32:40:878',3,0.18125,0.210185,1
286,'2024/04/16 10:32:40:878',3,0.154687,0.210185,1
287,'2024/04/16 10:32:40:898',3,0.154687,0.253704,1
288,'2024/04/16 10:32:40:898',3,0.146354,0.253704,1
289,'2024/04/16 10:32:40:918',3,0.146354,0.307407,1
290,'2024/04/16 10:32:40:918',3,0.144271,0.307407,1
291,'2024/04/16 10:32:40:938',3,0.144271,0.388889,1
292,'2024/04/16 10:32:40:938',3,0.151042,0.388889,1
293,'2024/04/16 10:32:40:958',3,0.151042,0.455556,1
294,'2024/04/16 10:32:40:958',3,0.173438,0.455556,1
295,'2024/04/16 10:32:40:978',3,0.173438,0.477778,1
296,'2024/04/16 10:32:40:978',3,0.19375,0.477778,1
297,'2024/04/16 10:32:40:998',3,0.19375,0.481481,1
298,'2024/04/16 10:32:40:998',3,0.233333,0.481481,1
299,'2024/04/16 10:32:41:018',3,0.233333,0.459259,1
300,'2024/04/16 10:32:41:018',3,0.261979,0.459259,1
301,'2024/04/16 10:32:41:038',3,0.261979,0.435185,1
302,'2024/04/16 10:32:41:038',3,0.278125,0.435185,1
303,'2024/04/16 10:32:41:058',3,0.278125,0.391667,1
304,'2024/04/16 10:32:41:058',3,0.295833,0.391667,1
305,'2024/04/16 10:32:41:078',3,0.295833,0.338889,1
306,'2024/04/16 10:32:41:078',3,0.298958,0.338889,1
307,'2024/04/16 10:32:41:098',3,0.298958,0.306481,1
308,'2024/04/16 10:32:41:098',3,0.293229,0.306481,1
309,'2024/04/16 10:32:41:118',3,0.293229,0.271296,1
310,'2024/04/16 10:32:41:118',3,0.279167,0.271296,1
311,'2024/04/16 10:32:41:138',3,0.279167,0.227778,1
312,'2024/04/16 10:32:41:138',3,0.249479,0.227778,1
313,'2024/04/16 10:32:41:158',3,0.249479,0.199074,1
314,'2024/04/16 10:32:41:158',3,0.2125,0.199074,1
315,'2024/04/16 10:32:41:178',3,0.2125,0.196296,1
316,'2024/04/16 10:32:41:178',3,0.1875,0.196296,1
317,'2024/04/16 10:32:41:198',3,0.1875,0.213889,1
318,'2024/04/16 10:32:41:198',3,0.15625,0.213889,1
319,'2024/04/16 10:32:41:218',3,0.15625,0.24537,1
320,'2024/04/16 10:32:41:218',3,0.141146,0.24537,1
321,'2024/04/16 10:32:41:238',3,0.141146,0.289815,1
322,'2024/04/16 10:32:41:238',3,0.13125,0.289815,1
323,'2024/04/16 10:32:41:258',3,0.13125,0.362963,1
324,'2024/04/16 10:32:41:258',3,0.128125,0.362963,1
325,'2024/04/16 10:32:41:278',3,0.128125,0.421296,1
326,'2024/04/16 10:32:41:278',3,0.142708,0.421296,1
327,'2024/04/16 10:32:41:298',3,0.142708,0.449074,1
328,'2024/04/16 10:32:41:298',3,0.163021,0.449074,1
329,'2024/04/16 10:32:41:318',3,0.163021,0.464815,1
330,'2024/04/16 10:32:41:318',3,0.194271,0.464815,1
331,'2024/04/16 10:32:41:338',3,0.194271,0.449074,1
332,'2024/04/16 10:32:41:338',3,0.247917,0.449074,1
333,'2024/04/16 10:32:41:358',3,0.247917,0.408333,1
334,'2024/04/16 10:32:41:358',3,0.279167,0.408333,1
335,'2024/04/16 10:32:41:378',3,0.279167,0.375926,1
336,'2024/04/16 10:32:41:378',3,0.291667,0.375926,1
337,'2024/04/16 10:32:41:398',3,0.291667,0.312963,1
338,'2024/04/16 10:32:41:398',3,0.296875,0.312963,1
339,'2024/04/16 10:32:41:418',3,0.296875,0.272222,1
340,'2024/04/16 10:32:41:418',3,0.2875,0.272222,1
341,'2024/04/16 10:32:41:438',3,0.2875,0.210185,1
342,'2024/04/16 10:32:41:438',3,0.260417,0.210185,1
343,'2024/04/16 10:32:41:458',3,0.260417,0.175,1
344,'2024/04/16 10:32:41:458',3,0.239063,0.175,1
345,'2024/04/16 10:32:41:478',3,0.239063,0.147222,1
346,'2024/04/16 10:32:41:478',3,0.211458,0.147222,1
347,'2024/04/16 10:32:41:498',3,0.211458,0.137963,1
348,'2024/04/16 10:32:41:498',3,0.192708,0.137963,1
349,'2024/04/16 10:32:41:518',3,0.192708,0.137963,1
350,'2024/04/16 10:32:41:518',3,0.169792,0.137963,1
351,'2024/04/16 10:32:41:538',3,0.169792,0.160185,1
352,'2024/04/16 10:32:41:538',3,0.152083,0.160185,1
353,'2024/04/16 10:32:41:558',3,0.152083,0.223148,1
354,'2024/04/16 10:32:41:558',3,0.135937,0.223148,1
355,'2024/04/16 10:32:41:578',3,0.135937,0.311111,1
356,'2024/04/16 10:32:41:578',3,0.131771,0.311111,1
357,'2024/04/16 10:32:41:598',3,0.131771,0.359259,1
358,'2024/04/16 10:32:41:598',3,0.136979,0.359259,1
359,'2024/04/16 10:32:41:618',3,0.136979,0.396296,1
360,'2024/04/16 10:32:41:618',3,0.153125,0.396296,1
361,'2024/04/16 10:32:41:638',3,0.153125,0.42963,1
362,'2024/04/16 10:32:41:638',3,0.203125,0.42963,1
363,'2024/04/16 10:32:41:658',3,0.203125,0.422222,1
364,'2024/04/16 10:32:41:658',3,0.248958,0.422222,1
365,'2024/04/16 10:32:41:678',3,0.248958,0.402778,1
366,'2024/04/16 10:32:41:678',3,0.270833,0.402778,1
367,'2024/04/16 10:32:41:698',3,0.270833,0.373148,1
368,'2024/04/16 10:32:41:698',3,0.292188,0.373148,1
369,'2024/04/16 10:32:41:718',3,0.292188,0.330556,1
370,'2024/04/16 10:32:41:718',3,0.306771,0.330556,1
371,'2024/04/16 10:32:41:738',3,0.306771,0.275,1
372,'2024/04/16 10:32:41:738',3,0.307292,0.275,1
373,'2024/04/16 10:32:41:758',3,0.307292,0.237963,1
374,'2024/04/16 10:32:41:758',3,0.296875,0.237963,1
375,'2024/04/16 10:32:41:778',3,0.296875,0.17963,1
376,'2024/04/16 10:32:41:778',3,0.270833,0.17963,1
377,'2024/04/16 10:32:41:798',3,0.270833,0.149074,1
378,'2024/04/16 10:32:41:798',3,0.251042,0.149074,1
379,'2024/04/16 10:32:41:818',3,0.251042,0.135185,1
380,'2024/04/16 10:32:41:818',3,0.2375,0.135185,1
381,'2024/04/16 10:32:41:838',3,0.2375,0.123148,1
382,'2024/04/16 10:32:41:838',3,0.216146,0.123148,1
383,'2024/04/16 10:32:41:858',3,0.216146,0.126852,1
384,'2024/04/16 10:32:41:858',3,0.199479,0.126852,1
385,'2024/04/16 10:32:41:878',3,0.199479,0.141667,1
386,'2024/04/16 10:32:41:878',3,0.190104,0.141667,1
387,'2024/04/16 10:32:41:898',3,0.190104,0.190741,1
388,'2024/04/16 10:32:41:898',3,0.177083,0.190741,1
389,'2024/04/16 10:32:41:918',3,0.177083,0.235185,1
390,'2024/04/16 10:32:41:918',3,0.175521,0.235185,1
391,'2024/04/16 10:32:41:938',3,0.175521,0.316667,1
392,'2024/04/16 10:32:41:938',3,0.181771,0.316667,1
393,'2024/04/16 10:32:41:958',3,0.181771,0.368519,1
394,'2024/04/16 10:32:41:958',3,0.196875,0.368519,1
395,'2024/04/16 10:32:41:978',3,0.196875,0.424074,1
396,'2024/04/16 10:32:41:978',3,0.229167,0.424074,1
397,'2024/04/16 10:32:41:998',3,0.229167,0.436111,1
398,'2024/04/16 10:32:41:998',3,0.254687,0.436111,1
399,'2024/04/16 10:32:42:018',3,0.254687,0.435185,1
400,'2024/04/16 10:32:42:018',3,0.286979,0.435185,1
401,'2024/04/16 10:32:42:038',3,0.286979,0.409259,1
402,'2024/04/16 10:32:42:038',3,0.314063,0.409259,1
403,'2024/04/16 10:32:42:058',3,0.314063,0.37037,1
404,'2024/04/16 10:32:42:058',3,0.3375,0.37037,1
405,'2024/04/16 10:32:42:078',3,0.3375,0.331481,1
406,'2024/04/16 10:32:42:078',3,0.347917,0.331481,1
407,'2024/04/16 10:32:42:098',3,0.347917,0.294444,1
408,'2024/04/16 10:32:42:098',3,0.348437,0.294444,1
409,'2024/04/16 10:32:42:118',3,0.348437,0.257407,1
410,'2024/04/16 10:32:42:118',3,0.336979,0.257407,1
411,'2024/04/16 10:32:42:138',3,0.336979,0.20463,1
412,'2024/04/16 10:32:42:138',3,0.309375,0.20463,1
413,'2024/04/16 10:32:42:158',3,0.309375,0.175,1
414,'2024/04/16 10:32:42:159',3,0.286458,0.175,1
415,'2024/04/16 10:32:42:178',3,0.286458,0.151852,1
416,'2024/04/16 10:32:42:178',3,0.251042,0.151852,1
417,'2024/04/16 10:32:42:198',3,0.251042,0.150926,1
418,'2024/04/16 10:32:42:198',3,0.228125,0.150926,1
419,'2024/04/16 10:32:42:218',3,0.228125,0.162963,1
420,'2024/04/16 10:32:42:218',3,0.207813,0.162963,1
421,'2024/04/16 10:32:42:238',3,0.207813,0.218519,1
422,'2024/04/16 10:32:42:238',3,0.178125,0.218519,1
423,'2024/04/16 10:32:42:258',3,0.178125,0.306481,1
424,'2024/04/16 10:32:42:258',3,0.156771,0.306481,1
425,'2024/04/16 10:32:42:278',3,0.156771,0.347222,1
426,'2024/04/16 10:32:42:278',3,0.153125,0.347222,1
427,'2024/04/16 10:32:42:298',3,0.153125,0.424074,1
428,'2024/04/16 10:32:42:298',3,0.159896,0.424074,1
429,'2024/04/16 10:32:42:318',3,0.159896,0.451852,1
430,'2024/04/16 10:32:42:318',3,0.178125,0.451852,1
